"Style","Color","Size","Divisie","Hoofdgroep","Subgroep","Subsubgroep","Jaar","Maand","Quantity"
"100001","1","1","1","11","110","00","2016","1","13455"
"100001","1","1","1","11","110","00","2016","2","15450"
"100001","1","1","1","11","110","00","2016","3","13586"
"100001","1","1","1","11","110","00","2016","4","15153"
"100001","1","1","1","11","110","00","2016","5","16146"
"100001","1","1","1","11","110","00","2016","6","17989"
"100001","1","1","1","11","110","00","2016","7","15737"
"100001","1","1","1","11","110","00","2016","8","13799"
"100001","1","1","1","11","110","00","2016","9","15216"
"100001","1","1","1","11","110","00","2016","10","13690"
"100001","1","1","1","11","110","00","2016","11","10057"
"100001","1","1","1","11","110","00","2016","12","11528"
"100001","1","1","1","11","110","00","2017","1","10836"
"100001","1","1","1","11","110","00","2017","2","16187"
"100001","1","1","1","11","110","00","2017","3","18370"
"100001","1","1","1","11","110","00","2017","4","16099"
"100001","1","1","1","11","110","00","2017","5","21654"
"100001","1","1","1","11","110","00","2017","6","19916"
"100001","1","1","1","11","110","00","2017","7","15144"
"100001","1","1","1","11","110","00","2017","8","17905"
"100001","1","1","1","11","110","00","2017","9","15560"
"100001","1","1","1","11","110","00","2017","10","16506"
"100001","1","1","1","11","110","00","2017","11","14977"
"100001","1","1","1","11","110","00","2017","12","13785"
"100001","1","1","1","11","110","00","2018","1","14989"
"100001","1","1","1","11","110","00","2018","2","17632"
"100001","1","1","1","11","110","00","2018","3","19867"
"100001","1","1","1","11","110","00","2018","4","20546"
"100001","1","1","1","11","110","00","2018","5","27313"
"100001","1","1","1","11","110","00","2018","6","29795"
"100001","1","1","1","11","110","00","2018","7","15831"
"100001","1","1","1","11","110","00","2018","8","7625"
"100001","1","1","1","11","110","00","2018","9","7738"
"100001","1","1","1","11","110","00","2018","10","6682"
"100001","1","1","1","11","110","00","2018","11","5573"
"100001","1","1","1","11","110","00","2018","12","5496"
"100002","1","1","1","11","110","00","2016","1","25712"
"100002","1","1","1","11","110","00","2016","2","16710"
"100002","1","1","1","11","110","00","2016","3","7815"
"100002","1","1","1","11","110","00","2016","4","3533"
"100002","1","1","1","11","110","00","2016","5","2550"
"100002","1","1","1","11","110","00","2016","6","23261"
"100002","1","1","1","11","110","00","2016","7","13092"
"100002","1","1","1","11","110","00","2016","8","10723"
"100002","1","1","1","11","110","00","2016","9","19423"
"100002","1","1","1","11","110","00","2016","10","24344"
"100002","1","1","1","11","110","00","2016","11","24337"
"100002","1","1","1","11","110","00","2016","12","24136"
"100002","1","1","1","11","110","00","2017","1","23008"
"100002","1","1","1","11","110","00","2017","2","22508"
"100002","1","1","1","11","110","00","2017","3","23598"
"100002","1","1","1","11","110","00","2017","4","22242"
"100002","1","1","1","11","110","00","2017","5","19783"
"100002","1","1","1","11","110","00","2017","6","18957"
"100002","1","1","1","11","110","00","2017","7","19483"
"100002","1","1","1","11","110","00","2017","8","18176"
"100002","1","1","1","11","110","00","2017","9","18703"
"100002","1","1","1","11","110","00","2017","10","18287"
"100002","1","1","1","11","110","00","2017","11","18648"
"100002","1","1","1","11","110","00","2017","12","23575"
"100002","1","1","1","11","110","00","2018","1","25750"
"100002","1","1","1","11","110","00","2018","2","20698"
"100002","1","1","1","11","110","00","2018","3","23201"
"100002","1","1","1","11","110","00","2018","4","22184"
"100002","1","1","1","11","110","00","2018","5","26432"
"100002","1","1","1","11","110","00","2018","6","27974"
"100002","1","1","1","11","110","00","2018","7","20415"
"100002","1","1","1","11","110","00","2018","8","20219"
"100002","1","1","1","11","110","00","2018","9","20535"
"100002","1","1","1","11","110","00","2018","10","23058"
"100002","1","1","1","11","110","00","2018","11","25500"
"100002","1","1","1","11","110","00","2018","12","23403"
"100003","1","1","1","11","115","00","2016","1","14882"
"100003","1","1","1","11","115","00","2016","2","12650"
"100003","1","1","1","11","115","00","2016","3","14305"
"100003","1","1","1","11","115","00","2016","4","16069"
"100003","1","1","1","11","115","00","2016","5","14637"
"100003","1","1","1","11","115","00","2016","6","16247"
"100003","1","1","1","11","115","00","2016","7","16526"
"100003","1","1","1","11","115","00","2016","8","17901"
"100003","1","1","1","11","115","00","2016","9","16772"
"100003","1","1","1","11","115","00","2016","10","16697"
"100003","1","1","1","11","115","00","2016","11","14928"
"100003","1","1","1","11","115","00","2016","12","15202"
"100003","1","1","1","11","115","00","2017","1","14960"
"100003","1","1","1","11","115","00","2017","2","12681"
"100003","1","1","1","11","115","00","2017","3","16777"
"100003","1","1","1","11","115","00","2017","4","16007"
"100003","1","1","1","11","115","00","2017","5","12890"
"100003","1","1","1","11","115","00","2017","6","11261"
"100003","1","1","1","11","115","00","2017","7","18713"
"100003","1","1","1","11","115","00","2017","8","5816"
"100003","1","1","1","11","115","00","2017","9","1365"
"100003","1","1","1","11","115","00","2017","10","1271"
"100003","1","1","1","11","115","00","2017","11","1000"
"100003","1","1","1","11","115","00","2017","12","849"
"100003","1","1","1","11","115","00","2018","1","912"
"100003","1","1","1","11","115","00","2018","2","602"
"100003","1","1","1","11","115","00","2018","3","439"
"100003","1","1","1","11","115","00","2018","4","378"
"100003","1","1","1","11","115","00","2018","5","322"
"100003","1","1","1","11","115","00","2018","6","276"
"100003","1","1","1","11","115","00","2018","7","278"
"100003","1","1","1","11","115","00","2018","8","275"
"100003","1","1","1","11","115","00","2018","9","195"
"100003","1","1","1","11","115","00","2018","10","154"
"100003","1","1","1","11","115","00","2018","11","167"
"100003","1","1","1","11","115","00","2018","12","136"
"100004","1","1","1","11","115","00","2017","8","9254"
"100004","1","1","1","11","115","00","2017","9","14833"
"100004","1","1","1","11","115","00","2017","10","15109"
"100004","1","1","1","11","115","00","2017","11","14532"
"100004","1","1","1","11","115","00","2017","12","13252"
"100004","1","1","1","11","115","00","2018","1","13690"
"100004","1","1","1","11","115","00","2018","2","11131"
"100004","1","1","1","11","115","00","2018","3","12330"
"100004","1","1","1","11","115","00","2018","4","12089"
"100004","1","1","1","11","115","00","2018","5","12878"
"100004","1","1","1","11","115","00","2018","6","15018"
"100004","1","1","1","11","115","00","2018","7","13459"
"100004","1","1","1","11","115","00","2018","8","8326"
"100004","1","1","1","11","115","00","2018","9","13635"
"100004","1","1","1","11","115","00","2018","10","13435"
"100004","1","1","1","11","115","00","2018","11","11689"
"100004","1","1","1","11","115","00","2018","12","10352"
"100005","1","1","1","11","115","00","2016","1","23671"
"100005","1","1","1","11","115","00","2016","2","24593"
"100005","1","1","1","11","115","00","2016","3","27021"
"100005","1","1","1","11","115","00","2016","4","27365"
"100005","1","1","1","11","115","00","2016","5","21762"
"100005","1","1","1","11","115","00","2016","6","24218"
"100005","1","1","1","11","115","00","2016","7","25797"
"100005","1","1","1","11","115","00","2016","8","28259"
"100005","1","1","1","11","115","00","2016","9","24195"
"100005","1","1","1","11","115","00","2016","10","25584"
"100005","1","1","1","11","115","00","2016","11","22469"
"100005","1","1","1","11","115","00","2016","12","20234"
"100005","1","1","1","11","115","00","2017","1","20756"
"100005","1","1","1","11","115","00","2017","2","17536"
"100005","1","1","1","11","115","00","2017","3","19994"
"100005","1","1","1","11","115","00","2017","4","14032"
"100005","1","1","1","11","115","00","2017","5","10821"
"100005","1","1","1","11","115","00","2017","6","15130"
"100005","1","1","1","11","115","00","2017","7","33974"
"100005","1","1","1","11","115","00","2017","8","30209"
"100005","1","1","1","11","115","00","2017","9","28132"
"100005","1","1","1","11","115","00","2017","10","24570"
"100005","1","1","1","11","115","00","2017","11","23408"
"100005","1","1","1","11","115","00","2017","12","21185"
"100005","1","1","1","11","115","00","2018","1","24683"
"100005","1","1","1","11","115","00","2018","2","21440"
"100005","1","1","1","11","115","00","2018","3","22795"
"100005","1","1","1","11","115","00","2018","4","20302"
"100005","1","1","1","11","115","00","2018","5","20805"
"100005","1","1","1","11","115","00","2018","6","23568"
"100005","1","1","1","11","115","00","2018","7","21788"
"100005","1","1","1","11","115","00","2018","8","29351"
"100005","1","1","1","11","115","00","2018","9","19609"
"100005","1","1","1","11","115","00","2018","10","21162"
"100005","1","1","1","11","115","00","2018","11","19681"
"100005","1","1","1","11","115","00","2018","12","19136"
"100006","1","1","1","11","115","00","2016","1","17435"
"100006","1","1","1","11","115","00","2016","2","16687"
"100006","1","1","1","11","115","00","2016","3","18009"
"100006","1","1","1","11","115","00","2016","4","17728"
"100006","1","1","1","11","115","00","2016","5","15271"
"100006","1","1","1","11","115","00","2016","6","19998"
"100006","1","1","1","11","115","00","2016","7","20498"
"100006","1","1","1","11","115","00","2016","8","19289"
"100006","1","1","1","11","115","00","2016","9","17713"
"100006","1","1","1","11","115","00","2016","10","13835"
"100006","1","1","1","11","115","00","2016","11","16969"
"100006","1","1","1","11","115","00","2016","12","16629"
"100006","1","1","1","11","115","00","2017","1","16938"
"100006","1","1","1","11","115","00","2017","2","16275"
"100006","1","1","1","11","115","00","2017","3","20330"
"100006","1","1","1","11","115","00","2017","4","18142"
"100006","1","1","1","11","115","00","2017","5","16680"
"100006","1","1","1","11","115","00","2017","6","19622"
"100006","1","1","1","11","115","00","2017","7","15815"
"100006","1","1","1","11","115","00","2017","8","18455"
"100006","1","1","1","11","115","00","2017","9","22282"
"100006","1","1","1","11","115","00","2017","10","20642"
"100006","1","1","1","11","115","00","2017","11","18594"
"100006","1","1","1","11","115","00","2017","12","15209"
"100006","1","1","1","11","115","00","2018","1","16943"
"100006","1","1","1","11","115","00","2018","2","15968"
"100006","1","1","1","11","115","00","2018","3","18341"
"100006","1","1","1","11","115","00","2018","4","18147"
"100006","1","1","1","11","115","00","2018","5","18783"
"100006","1","1","1","11","115","00","2018","6","20521"
"100006","1","1","1","11","115","00","2018","7","18845"
"100006","1","1","1","11","115","00","2018","8","18589"
"100006","1","1","1","11","115","00","2018","9","18234"
"100006","1","1","1","11","115","00","2018","10","19398"
"100006","1","1","1","11","115","00","2018","11","17667"
"100006","1","1","1","11","115","00","2018","12","15497"
"100007","1","1","1","11","115","00","2016","1","56370"
"100007","1","1","1","11","115","00","2016","2","53501"
"100007","1","1","1","11","115","00","2016","3","57246"
"100007","1","1","1","11","115","00","2016","4","60086"
"100007","1","1","1","11","115","00","2016","5","57902"
"100007","1","1","1","11","115","00","2016","6","48420"
"100007","1","1","1","11","115","00","2016","7","64524"
"100007","1","1","1","11","115","00","2016","8","63358"
"100007","1","1","1","11","115","00","2016","9","57935"
"100007","1","1","1","11","115","00","2016","10","63473"
"100007","1","1","1","11","115","00","2016","11","59539"
"100007","1","1","1","11","115","00","2016","12","60806"
"100007","1","1","1","11","115","00","2017","1","54533"
"100007","1","1","1","11","115","00","2017","2","49523"
"100007","1","1","1","11","115","00","2017","3","63022"
"100007","1","1","1","11","115","00","2017","4","59045"
"100007","1","1","1","11","115","00","2017","5","62099"
"100007","1","1","1","11","115","00","2017","6","62457"
"100007","1","1","1","11","115","00","2017","7","70207"
"100007","1","1","1","11","115","00","2017","8","68326"
"100007","1","1","1","11","115","00","2017","9","59172"
"100007","1","1","1","11","115","00","2017","10","65179"
"100007","1","1","1","11","115","00","2017","11","66736"
"100007","1","1","1","11","115","00","2017","12","64505"
"100007","1","1","1","11","115","00","2018","1","65181"
"100007","1","1","1","11","115","00","2018","2","59116"
"100007","1","1","1","11","115","00","2018","3","65079"
"100007","1","1","1","11","115","00","2018","4","64119"
"100007","1","1","1","11","115","00","2018","5","67746"
"100007","1","1","1","11","115","00","2018","6","75347"
"100007","1","1","1","11","115","00","2018","7","76544"
"100007","1","1","1","11","115","00","2018","8","79311"
"100007","1","1","1","11","115","00","2018","9","73457"
"100007","1","1","1","11","115","00","2018","10","74042"
"100007","1","1","1","11","115","00","2018","11","71747"
"100007","1","1","1","11","115","00","2018","12","67500"
"100008","1","1","1","11","115","00","2016","1","21552"
"100008","1","1","1","11","115","00","2016","2","20690"
"100008","1","1","1","11","115","00","2016","3","21006"
"100008","1","1","1","11","115","00","2016","4","21428"
"100008","1","1","1","11","115","00","2016","5","21078"
"100008","1","1","1","11","115","00","2016","6","27200"
"100008","1","1","1","11","115","00","2016","7","24686"
"100008","1","1","1","11","115","00","2016","8","22190"
"100008","1","1","1","11","115","00","2016","9","21242"
"100008","1","1","1","11","115","00","2016","10","22757"
"100008","1","1","1","11","115","00","2016","11","21831"
"100008","1","1","1","11","115","00","2016","12","21542"
"100008","1","1","1","11","115","00","2017","1","21546"
"100008","1","1","1","11","115","00","2017","2","20308"
"100008","1","1","1","11","115","00","2017","3","23020"
"100008","1","1","1","11","115","00","2017","4","20517"
"100008","1","1","1","11","115","00","2017","5","22314"
"100008","1","1","1","11","115","00","2017","6","24123"
"100008","1","1","1","11","115","00","2017","7","27212"
"100008","1","1","1","11","115","00","2017","8","26027"
"100008","1","1","1","11","115","00","2017","9","27829"
"100008","1","1","1","11","115","00","2017","10","25164"
"100008","1","1","1","11","115","00","2017","11","23202"
"100008","1","1","1","11","115","00","2017","12","24721"
"100008","1","1","1","11","115","00","2018","1","24688"
"100008","1","1","1","11","115","00","2018","2","20855"
"100008","1","1","1","11","115","00","2018","3","24137"
"100008","1","1","1","11","115","00","2018","4","21866"
"100008","1","1","1","11","115","00","2018","5","25158"
"100008","1","1","1","11","115","00","2018","6","25610"
"100008","1","1","1","11","115","00","2018","7","24644"
"100008","1","1","1","11","115","00","2018","8","26424"
"100008","1","1","1","11","115","00","2018","9","23246"
"100008","1","1","1","11","115","00","2018","10","23497"
"100008","1","1","1","11","115","00","2018","11","22184"
"100008","1","1","1","11","115","00","2018","12","22749"
"100009","1","1","1","11","115","00","2016","1","15047"
"100009","1","1","1","11","115","00","2016","2","14329"
"100009","1","1","1","11","115","00","2016","3","15335"
"100009","1","1","1","11","115","00","2016","4","16693"
"100009","1","1","1","11","115","00","2016","5","16117"
"100009","1","1","1","11","115","00","2016","6","18631"
"100009","1","1","1","11","115","00","2016","7","17128"
"100009","1","1","1","11","115","00","2016","8","17932"
"100009","1","1","1","11","115","00","2016","9","17746"
"100009","1","1","1","11","115","00","2016","10","15954"
"100009","1","1","1","11","115","00","2016","11","16611"
"100009","1","1","1","11","115","00","2016","12","16396"
"100009","1","1","1","11","115","00","2017","1","18351"
"100009","1","1","1","11","115","00","2017","2","21241"
"100009","1","1","1","11","115","00","2017","3","24790"
"100009","1","1","1","11","115","00","2017","4","20056"
"100009","1","1","1","11","115","00","2017","5","17337"
"100009","1","1","1","11","115","00","2017","6","19638"
"100009","1","1","1","11","115","00","2017","7","17485"
"100009","1","1","1","11","115","00","2017","8","18912"
"100009","1","1","1","11","115","00","2017","9","22774"
"100009","1","1","1","11","115","00","2017","10","21913"
"100009","1","1","1","11","115","00","2017","11","19642"
"100009","1","1","1","11","115","00","2017","12","18560"
"100009","1","1","1","11","115","00","2018","1","18700"
"100009","1","1","1","11","115","00","2018","2","15690"
"100009","1","1","1","11","115","00","2018","3","17887"
"100009","1","1","1","11","115","00","2018","4","16305"
